Vial,Treatment,Rep,AgeBin,CourtshipLatency,CopulationLatency,CopulationDuration,Copulation,Date,Temperature,Humidity,StartTime,Bin2,Bin3,Bin4,FinishSetUp,EndTime
40,LTP,4,4,9:33,9:47,10:04,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
41,LTS,1,4,9:48,9:52,10:13,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
42,LTS,2,4,9:47,10:30,10:57,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
43,LTS,3,4,9:44,9:53,10:13,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
44,LTS,4,4,9:36,9:45,10:02,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
45,LTC,1,4,,9:53,10:14,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
46,LTC,2,4,9:39,9:40,9:59,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
47,LTC,3,4,,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
48,LTC,4,4,9:47,10:05,10:28,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
1,LTP,1,1,9:22,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
2,LTP,2,1,9:47,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
3,LTP,3,1,9:28,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
4,LTP,4,1,9:30,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
5,LTS,1,1,9:31,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
6,LTS,2,1,9:54,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
7,LTS,3,1,10:49,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
8,LTS,4,1,9:26,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
9,LTC,1,1,10:50,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
10,LTC,2,1,10:42,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
11,LTC,3,1,,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
12,LTC,4,1,,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
13,LTP,1,2,9:25,9:35,9:56,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
14,LTP,2,2,9:29,10:04,10:24,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
15,LTP,3,2,9:31,9:56,10:21,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
16,LTP,4,2,9:58,10:01,10:27,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
17,LTS,1,2,10:14,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
18,LTS,2,2,9:31,10:22,10:48,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
19,LTS,3,2,9:30,10:01,10:18,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
20,LTS,4,2,9:35,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
